Index	SrcX	SrcY	DstX	DstY
8	223.229	166.225	24.2329	134.579
9	223.229	166.225	24.2329	134.579
12	228.697	234.023	24.6299	212.355
13	228.697	234.023	24.6299	212.355
14	229.643	132.238	35.939	97.176
15	230.949	344.627	16.2589	337.621
16	231.302	150.847	36.3692	118.507
17	236.071	65.9305	51.9787	23.0233
19	240.861	192.681	44.3912	166.739
21	247.026	149.274	56.3599	119.263
23	256.818	132.383	70.1852	102.133
24	256.961	283.648	54.7058	269.575
28	265.086	303.391	62.106	291.782
29	266.526	115.86	83.3714	85.9868
30	266.787	144.578	81.0839	117.101
31	266.787	144.578	81.0839	117.101
32	268.579	333.361	63.7633	324.413
35	277.893	125.707	96.0157	98.5616
36	278.505	178.328	91.2707	155.877
37	278.505	178.328	91.2707	155.877
