Index	SrcX	SrcY	DstX	DstY
1	5.57326	181.234	245.036	212.17
5	12.5664	172.439	250.735	203.523
6	13.3389	122.789	247.841	161.03
7	15.5265	218.723	256.052	243.537
10	20.7659	178.062	256.414	208.146
12	23.8193	106.401	254.079	145.97
13	29.2411	133.843	260.244	168.876
14	32.7145	65.3782	257.822	109.42
15	34.6624	183.137	267.708	211.397
16	34.6624	183.137	267.708	211.397
17	35.7626	289.011	276.828	304.333
20	41.5951	187.802	273.892	214.754
21	44.5883	362.124	289.594	370.031
22	45.0574	184.992	275.82	211.656
23	46.0407	327.498	288.437	339.2
27	48.5793	236.415	283.183	257.026
28	50.7443	354.051	293.714	363.1
29	50.8797	48.1676	270.49	91.5082
30	51.2051	188.843	281.641	214.558
31	51.9624	296.452	290.477	310.99
