filename,label,L5L5,L5E5,L5S5,L5W5,L5R5,E5L5,E5E5,E5S5,E5W5,E5R5,S5L5,S5E5,S5S5,S5W5,S5R5,W5L5,W5E5,W5S5,W5W5,W5R5,R5L5,R5E5,R5S5,R5W5,R5R5
blanket_1.raw,blanket,1180.3267707825,300.4310913086,240.1303100586,313.7382202148,643.9677124023,307.7860717773,105.9935913086,111.4700317383,176.1176147461,355.4712524414,252.5817260742,113.5919799805,138.1766967773,226.3352661133,451.4983520508,324.9627075195,153.0048217773,190.7304077148,313.0783081055,623.0615844727,629.6416625977,238.5315551758,280.4771118164,452.3762817383,904.1151733398
blanket_2.raw,blanket,2805.5963745117,813.4896850586,667.1648559570,885.5737915039,1852.9080200195,728.9895629883,288.2449340820,311.2404174805,493.8137817383,979.4384155273,664.9946899414,324.2407836914,395.7687377930,643.4413452148,1260.1393432617,893.3952026367,445.5380249023,549.7411499023,897.2869262695,1746.2352905273,1752.1897583008,708.8840942383,828.6447143555,1302.9912719727,2594.1419067383
blanket_3.raw,blanket,3849.6846275330,1157.4768676758,817.9883422852,873.0593872070,1153.4257202148,1430.8870239258,339.5049438477,187.4174194336,161.8584594727,264.6537475586,1142.8634643555,176.6752319336,104.5151977539,100.1184692383,171.0955200195,1106.8655395508,154.2365112305,98.2493286133,100.6591186523,176.9155883789,1247.3225708008,255.2196655273,162.7164916992,169.0755004883,316.9081420898
blanket_4.raw,blanket,3294.8643074036,1058.2921752930,813.1914672852,835.8696899414,1212.8180541992,1298.2282104492,285.5470581055,173.6448364258,179.3270874023,339.9224243164,1010.4428100586,170.7388305664,112.2649536133,119.8977661133,218.3663940430,931.6029663086,172.6306762695,117.1039428711,126.7756958008,234.7954711914,1138.9364624023,309.4536743164,209.9469604492,231.7506713867,445.1917114258
blanket_5.raw,blanket,3597.8222484589,1051.3083496094,756.6997070312,812.8837890625,1199.2187500000,1294.6900634766,299.5643310547,176.7766113281,175.2637939453,330.3986816406,994.2484130859,175.4641113281,113.9768066406,120.2307128906,216.0948486328,949.7067871094,179.7327880859,118.9033203125,126.3753662109,225.1738281250,1217.6624755859,327.4016113281,212.8031005859,225.3283691406,415.9771728516
blanket_6.raw,blanket,3697.8472690582,1097.5471191406,786.0485839844,832.7021484375,1127.9328613281,1395.1717529297,324.7760009766,181.4685058594,163.7293701172,278.6065673828,1092.3857421875,183.4440917969,112.5269775391,111.1884765625,188.3094482422,1060.1164550781,183.6647949219,116.9056396484,118.1193847656,203.1507568359,1293.5977783203,335.4125976562,211.7819824219,212.4364013672,384.7424316406
blanket_7.raw,blanket,8909.3004817963,363.1979980469,184.1713867188,126.9847412109,156.2397460938,352.6906738281,77.9454345703,41.7830810547,33.1455078125,45.7094726562,152.1580810547,43.3887939453,24.9780273438,22.2239990234,32.4300537109,142.8160400391,47.0599365234,28.9368896484,27.6881103516,41.8900146484,227.9772949219,81.7365722656,51.7100830078,50.4302978516,78.0172119141
blanket_8.raw,blanket,7961.2481384277,631.0093383789,359.3577270508,268.8302612305,378.7173461914,481.4586791992,125.5744018555,73.9329223633,67.7859497070,110.0258178711,229.8776245117,75.4808959961,47.4578247070,49.9360961914,84.7487182617,244.8818969727,89.1459350586,58.0294799805,64.0260620117,112.3300170898,424.1980590820,164.8871459961,108.0488891602,114.3182983398,204.0258178711
blanket_9.raw,blanket,8688.6548347473,511.4361572266,297.0894775391,223.6992187500,303.2894287109,447.4857177734,112.0965576172,66.4365234375,57.0871582031,94.1093750000,183.4812011719,57.7385253906,36.6588134766,38.1080322266,69.6708984375,166.7076416016,58.3096923828,39.3170166016,43.8083496094,82.8649902344,266.3613281250,98.7290039062,68.1456298828,73.6601562500,137.4932861328
brick_1.raw,brick,5680.0665130615,512.4531860352,374.0408325195,477.2550659180,1233.3251342773,1100.8618774414,209.2926635742,153.4750366211,193.0159301758,474.0128784180,606.9243774414,169.6698608398,124.8482055664,154.0692749023,369.8550415039,721.7982788086,231.0852661133,169.9461059570,204.6679077148,484.9208374023,1865.5115356445,635.0805053711,458.4207153320,549.0065307617,1276.0354614258
brick_2.raw,brick,7405.0382957458,807.5217895508,504.9833374023,603.6320190430,1468.1773071289,1134.2417602539,241.9711303711,165.6599731445,199.0514526367,497.5636596680,681.2422485352,175.1893920898,120.3150024414,137.5643920898,325.3361206055,767.7345581055,219.5678100586,145.7352905273,157.1207885742,349.2960815430,1840.4887084961,529.2306518555,333.5753784180,340.9545288086,720.9982299805
brick_3.raw,brick,11460.4599876404,506.1254882812,313.8156738281,353.8217773438,801.2915039062,1015.5974121094,91.1986083984,64.9429931641,77.6683349609,194.8218994141,453.9884033203,55.9284667969,39.0219726562,44.2770996094,106.9884033203,410.0944824219,61.6149902344,41.2700195312,43.9948730469,98.5349121094,753.9345703125,126.8903808594,79.8582763672,81.1204833984,171.8758544922
brick_4.raw,brick,5807.6509819031,538.7025756836,387.4813842773,467.2824096680,936.3079223633,1464.2446899414,139.3265991211,92.8482055664,103.0151977539,188.4658813477,1028.0610961914,97.8348999023,62.0836791992,64.8220825195,110.2462768555,1011.0101928711,111.8668823242,65.2539672852,64.7329711914,108.2778930664,1823.7162475586,224.7335815430,118.0396118164,113.1004028320,197.0276489258
