filename,label,pc1,pc2,pc3
blanket_1.raw,blanket,-0.9237469302,4.7718469531,1.3057883573
blanket_2.raw,blanket,12.8375722448,7.4597111870,1.2540371486
blanket_3.raw,blanket,0.7580104004,-2.8268252186,1.8342537204
blanket_4.raw,blanket,0.9329032695,-1.7187504330,1.7498864942
blanket_5.raw,blanket,0.9333455784,-1.7125216193,1.5568691206
blanket_6.raw,blanket,1.0422470312,-2.3219279905,1.5975698743
blanket_7.raw,blanket,-6.5243224709,2.0484062384,-0.6468728965
blanket_8.raw,blanket,-4.6959054338,1.4963711056,-0.2324761757
blanket_9.raw,blanket,-5.5716265308,1.6941730897,-0.3816176961
brick_1.raw,brick,1.8849072260,1.6255178682,-1.2016259713
brick_2.raw,brick,1.5607952945,0.1241910963,-0.8619438697
brick_3.raw,brick,-4.3332402446,0.4459241273,-1.4363920309
brick_4.raw,brick,-2.0229555621,-1.4259253280,-0.2317862163
brick_5.raw,brick,-3.9764376038,-0.0349080777,-0.4284456657
brick_6.raw,brick,-3.1043560092,-0.0423145709,-1.4397824158
brick_7.raw,brick,-6.6047128018,2.1838104954,1.2106232801
brick_8.raw,brick,-3.4554513440,0.2607373614,0.3824393868
brick_9.raw,brick,-2.7900079768,0.2395008004,-0.4742234216
grass_1.raw,grass,-0.1483252345,-1.5199111232,0.7419758424
grass_2.raw,grass,0.6262320856,-1.4063659352,0.7088086468
grass_3.raw,grass,0.1831898317,-0.8092923804,0.8559597474
grass_4.raw,grass,1.1450609975,-0.7619417303,1.0098681561
grass_5.raw,grass,0.0528880997,-0.6852115497,0.8189715533
grass_6.raw,grass,1.5044360835,-0.8300094162,1.4426990931
grass_7.raw,grass,1.1298295115,-0.7176752285,1.1492299454
grass_8.raw,grass,-0.8256887296,-0.6290663427,0.6471747171
grass_9.raw,grass,-0.5489056785,-0.7186329582,0.9555394106
stones_1.raw,stones,0.4410411185,-1.8727519438,-1.2130079708
stones_2.raw,stones,-0.7858447192,0.3790448609,-0.7696567430
stones_3.raw,stones,11.8677267875,-2.4124313356,-1.8171029888
stones_4.raw,stones,-1.4399036834,-0.5453171057,-1.8730217702
stones_5.raw,stones,2.2802186529,-0.8579415238,-2.5759348936
stones_6.raw,stones,4.8109176039,0.4891170319,-1.8701077647
stones_7.raw,stones,0.4132438388,0.8631414408,-0.2688731503
stones_8.raw,stones,7.4890258712,-1.0434004986,-0.5384403995
stones_9.raw,stones,-4.1421605739,0.8116286536,-0.9603824541
